agno,producto,demanda
2025        ,iluminacion_,        0.00
2026        ,iluminacion_,        0.00
2027        ,iluminacion_,        0.00
2028        ,iluminacion_,        0.00
2029        ,iluminacion_,        0.00
2030        ,iluminacion_,        0.00
2031        ,iluminacion_,        0.00
2032        ,iluminacion_,        0.00
2033        ,iluminacion_,        0.00
2034        ,iluminacion_,        0.00
2035        ,iluminacion_,        0.00
2036        ,iluminacion_,        0.00
2037        ,iluminacion_,        0.00
2038        ,iluminacion_,        0.00
2039        ,iluminacion_,        0.00
2040        ,iluminacion_,        0.00
2041        ,iluminacion_,        0.00
2042        ,iluminacion_,        0.00
2043        ,iluminacion_,        0.00
2044        ,iluminacion_,        0.00
2045        ,iluminacion_,        0.00
2046        ,iluminacion_,        0.00
2047        ,iluminacion_,        0.00
2048        ,iluminacion_,        0.00
2049        ,iluminacion_,        0.00
2050        ,iluminacion_,        0.00
2017        ,enfriamiento,        0.00
2018        ,enfriamiento,        0.00
2019        ,enfriamiento,        0.00
2020        ,enfriamiento,        0.00
2021        ,enfriamiento,        0.00
2022        ,enfriamiento,        0.00
2023        ,enfriamiento,        0.00
2024        ,enfriamiento,        0.00
2025        ,enfriamiento,        0.00
2026        ,enfriamiento,        0.00
2027        ,enfriamiento,        0.00
2028        ,enfriamiento,        0.00
2029        ,enfriamiento,        0.00
2030        ,enfriamiento,        0.00
2031        ,enfriamiento,        0.00
2032        ,enfriamiento,        0.00
2033        ,enfriamiento,        0.00
2034        ,enfriamiento,        0.00
2035        ,enfriamiento,        0.00
2036        ,enfriamiento,        0.00
2037        ,enfriamiento,        0.00
2038        ,enfriamiento,        0.00
2039        ,enfriamiento,        0.00
2040        ,enfriamiento,        0.00
2041        ,enfriamiento,        0.00
2042        ,enfriamiento,        0.00
2043        ,enfriamiento,        0.00
2044        ,enfriamiento,        0.00
2045        ,enfriamiento,        0.00
2046        ,enfriamiento,        0.00
2047        ,enfriamiento,        0.00
2048        ,enfriamiento,        0.00
2049        ,enfriamiento,        0.00
2050        ,enfriamiento,        0.00
2017        ,otros_electr,        0.00
2018        ,otros_electr,        0.00
2019        ,otros_electr,        0.00
2020        ,otros_electr,        0.00
2021        ,otros_electr,        0.00
2022        ,otros_electr,        0.00
2023        ,otros_electr,        0.00
2024        ,otros_electr,        0.00
2025        ,otros_electr,        0.00
2026        ,otros_electr,        0.00
2027        ,otros_electr,        0.00
2028        ,otros_electr,        0.00
2029        ,otros_electr,        0.00
2030        ,otros_electr,        0.00
2031        ,otros_electr,        0.00
2032        ,otros_electr,        0.00
2033        ,otros_electr,        0.00
2034        ,otros_electr,        0.00
2035        ,otros_electr,        0.00
2036        ,otros_electr,        0.00
2037        ,otros_electr,        0.00
2038        ,otros_electr,        0.00
2039        ,otros_electr,        0.00
2040        ,otros_electr,        0.00
2041        ,otros_electr,        0.00
2042        ,otros_electr,        0.00
2043        ,otros_electr,        0.00
2044        ,otros_electr,        0.00
2045        ,otros_electr,        0.00
2046        ,otros_electr,        0.00
2047        ,otros_electr,        0.00
2048        ,otros_electr,        0.00
2049        ,otros_electr,        0.00
2050        ,otros_electr,        0.00
2017        ,calefaccion_,        0.00
2018        ,calefaccion_,        0.00
2019        ,calefaccion_,        0.00
2020        ,calefaccion_,        0.00
2021        ,calefaccion_,        0.00
2022        ,calefaccion_,        0.00
2023        ,calefaccion_,        0.00
2024        ,calefaccion_,        0.00
2025        ,calefaccion_,        0.00
2026        ,calefaccion_,        0.00
2027        ,calefaccion_,        0.00
2028        ,calefaccion_,        0.00
2029        ,calefaccion_,        0.00
2030        ,calefaccion_,        0.00
2031        ,calefaccion_,        0.00
2032        ,calefaccion_,        0.00
2033        ,calefaccion_,        0.00
2034        ,calefaccion_,        0.00
2035        ,calefaccion_,        0.00
2036        ,calefaccion_,        0.00
2037        ,calefaccion_,        0.00
2038        ,calefaccion_,        0.00
2039        ,calefaccion_,        0.00
2040        ,calefaccion_,        0.00
2041        ,calefaccion_,        0.00
2042        ,calefaccion_,        0.00
2043        ,calefaccion_,        0.00
2044        ,calefaccion_,        0.00
2045        ,calefaccion_,        0.00
2046        ,calefaccion_,        0.00
2047        ,calefaccion_,        0.00
2048        ,calefaccion_,        0.00
2049        ,calefaccion_,        0.00
2050        ,calefaccion_,        0.00
2017        ,calefaccion_,        0.00
2018        ,calefaccion_,        0.00
2019        ,calefaccion_,        0.00
2020        ,calefaccion_,        0.00
2021        ,calefaccion_,        0.00
2022        ,calefaccion_,        0.00
2023        ,calefaccion_,        0.00
2024        ,calefaccion_,        0.00
2025        ,calefaccion_,        0.00
2026        ,calefaccion_,        0.00
2027        ,calefaccion_,        0.00
2028        ,calefaccion_,        0.00
2029        ,calefaccion_,        0.00
2030        ,calefaccion_,        0.00
2031        ,calefaccion_,        0.00
2032        ,calefaccion_,        0.00
2033        ,calefaccion_,        0.00
2034        ,calefaccion_,        0.00
2035        ,calefaccion_,        0.00
2036        ,calefaccion_,        0.00
2037        ,calefaccion_,        0.00
2038        ,calefaccion_,        0.00
2039        ,calefaccion_,        0.00
2040        ,calefaccion_,        0.00
2041        ,calefaccion_,        0.00
2042        ,calefaccion_,        0.00
2043        ,calefaccion_,        0.00
2044        ,calefaccion_,        0.00
2045        ,calefaccion_,        0.00
2046        ,calefaccion_,        0.00
2047        ,calefaccion_,        0.00
2048        ,calefaccion_,        0.00
2049        ,calefaccion_,        0.00
2050        ,calefaccion_,        0.00
2017        ,calefaccion_,        0.00
2018        ,calefaccion_,        0.00
2019        ,calefaccion_,        0.00
2020        ,calefaccion_,        0.00
2021        ,calefaccion_,        0.00
2022        ,calefaccion_,        0.00
2023        ,calefaccion_,        0.00
2024        ,calefaccion_,        0.00
2025        ,calefaccion_,        0.00
2026        ,calefaccion_,        0.00
2027        ,calefaccion_,        0.00
2028        ,calefaccion_,        0.00
2029        ,calefaccion_,        0.00
2030        ,calefaccion_,        0.00
2031        ,calefaccion_,        0.00
2032        ,calefaccion_,        0.00
2033        ,calefaccion_,        0.00
2034        ,calefaccion_,        0.00
2035        ,calefaccion_,        0.00
2036        ,calefaccion_,        0.00
2037        ,calefaccion_,        0.00
2038        ,calefaccion_,        0.00
2039        ,calefaccion_,        0.00
2040        ,calefaccion_,        0.00
2041        ,calefaccion_,        0.00
2042        ,calefaccion_,        0.00
2043        ,calefaccion_,        0.00
2044        ,calefaccion_,        0.00
2045        ,calefaccion_,        0.00
2046        ,calefaccion_,        0.00
2047        ,calefaccion_,        0.00
2048        ,calefaccion_,        0.00
2049        ,calefaccion_,        0.00
2050        ,calefaccion_,        0.00
2017        ,calefaccion_,        0.00
2018        ,calefaccion_,        0.00
2019        ,calefaccion_,        0.00
2020        ,calefaccion_,        0.00
2021        ,calefaccion_,        0.00
2022        ,calefaccion_,        0.00
2023        ,calefaccion_,        0.00
2024        ,calefaccion_,        0.00
2025        ,calefaccion_,        0.00
2026        ,calefaccion_,        0.00
2027        ,calefaccion_,        0.00
2028        ,calefaccion_,        0.00
2029        ,calefaccion_,        0.00
2030        ,calefaccion_,        0.00
2031        ,calefaccion_,        0.00
2032        ,calefaccion_,        0.00
2033        ,calefaccion_,        0.00
2034        ,calefaccion_,        0.00
2035        ,calefaccion_,        0.00
2036        ,calefaccion_,        0.00
2037        ,calefaccion_,        0.00
2038        ,calefaccion_,        0.00
2039        ,calefaccion_,        0.00
2040        ,calefaccion_,        0.00
2041        ,calefaccion_,        0.00
2042        ,calefaccion_,        0.00
2043        ,calefaccion_,        0.00
2044        ,calefaccion_,        0.00
2045        ,calefaccion_,        0.00
2046        ,calefaccion_,        0.00
2047        ,calefaccion_,        0.00
2048        ,calefaccion_,        0.00
2049        ,calefaccion_,        0.00
2050        ,calefaccion_,        0.00
2017        ,calefaccion_,        0.00
2018        ,calefaccion_,        0.00
2019        ,calefaccion_,        0.00
2020        ,calefaccion_,        0.00
2021        ,calefaccion_,        0.00
2022        ,calefaccion_,        0.00
2023        ,calefaccion_,        0.00
2024        ,calefaccion_,        0.00
2025        ,calefaccion_,        0.00
2026        ,calefaccion_,        0.00
2027        ,calefaccion_,        0.00
2028        ,calefaccion_,        0.00
2029        ,calefaccion_,        0.00
2030        ,calefaccion_,        0.00
2031        ,calefaccion_,        0.00
2032        ,calefaccion_,        0.00
2033        ,calefaccion_,        0.00
2034        ,calefaccion_,        0.00
2035        ,calefaccion_,        0.00
2036        ,calefaccion_,        0.00
2037        ,calefaccion_,        0.00
2038        ,calefaccion_,        0.00
2039        ,calefaccion_,        0.00
2040        ,calefaccion_,        0.00
2041        ,calefaccion_,        0.00
2042        ,calefaccion_,        0.00
2043        ,calefaccion_,        0.00
2044        ,calefaccion_,        0.00
2045        ,calefaccion_,        0.00
2046        ,calefaccion_,        0.00
2047        ,calefaccion_,        0.00
2048        ,calefaccion_,        0.00
2049        ,calefaccion_,        0.00
2050        ,calefaccion_,        0.00
2017        ,ACS_gas_licu,        0.00
2018        ,ACS_gas_licu,        0.00
2019        ,ACS_gas_licu,        0.00
2020        ,ACS_gas_licu,        0.00
2021        ,ACS_gas_licu,        0.00
2022        ,ACS_gas_licu,        0.00
2023        ,ACS_gas_licu,        0.00
2024        ,ACS_gas_licu,        0.00
2025        ,ACS_gas_licu,        0.00
2026        ,ACS_gas_licu,        0.00
2027        ,ACS_gas_licu,        0.00
2028        ,ACS_gas_licu,        0.00
2029        ,ACS_gas_licu,        0.00
2030        ,ACS_gas_licu,        0.00
2031        ,ACS_gas_licu,        0.00
2032        ,ACS_gas_licu,        0.00
2033        ,ACS_gas_licu,        0.00
2034        ,ACS_gas_licu,        0.00
2035        ,ACS_gas_licu,        0.00
2036        ,ACS_gas_licu,        0.00
2037        ,ACS_gas_licu,        0.00
2038        ,ACS_gas_licu,        0.00
2039        ,ACS_gas_licu,        0.00
2040        ,ACS_gas_licu,        0.00
2041        ,ACS_gas_licu,        0.00
2042        ,ACS_gas_licu,        0.00
2043        ,ACS_gas_licu,        0.00
2044        ,ACS_gas_licu,        0.00
2045        ,ACS_gas_licu,        0.00
2046        ,ACS_gas_licu,        0.00
2047        ,ACS_gas_licu,        0.00
2048        ,ACS_gas_licu,        0.00
2049        ,ACS_gas_licu,        0.00
2050        ,ACS_gas_licu,        0.00
2017        ,ACS_gas_natu,        0.00
2018        ,ACS_gas_natu,        0.00
2019        ,ACS_gas_natu,        0.00
2020        ,ACS_gas_natu,        0.00
2021        ,ACS_gas_natu,        0.00
2022        ,ACS_gas_natu,        0.00
2023        ,ACS_gas_natu,        0.00
2024        ,ACS_gas_natu,        0.00
2025        ,ACS_gas_natu,        0.00
2026        ,ACS_gas_natu,        0.00
2027        ,ACS_gas_natu,        0.00
2028        ,ACS_gas_natu,        0.00
2029        ,ACS_gas_natu,        0.00
2030        ,ACS_gas_natu,        0.00
2031        ,ACS_gas_natu,        0.00
2032        ,ACS_gas_natu,        0.00
2033        ,ACS_gas_natu,        0.00
2034        ,ACS_gas_natu,        0.00
2035        ,ACS_gas_natu,        0.00
2036        ,ACS_gas_natu,        0.00
2037        ,ACS_gas_natu,        0.00
2038        ,ACS_gas_natu,        0.00
2039        ,ACS_gas_natu,        0.00
2040        ,ACS_gas_natu,        0.00
2041        ,ACS_gas_natu,        0.00
2042        ,ACS_gas_natu,        0.00
2043        ,ACS_gas_natu,        0.00
2044        ,ACS_gas_natu,        0.00
2045        ,ACS_gas_natu,        0.00
2046        ,ACS_gas_natu,        0.00
2047        ,ACS_gas_natu,        0.00
2048        ,ACS_gas_natu,        0.00
2049        ,ACS_gas_natu,        0.00
2050        ,ACS_gas_natu,        0.00
2017        ,coccion_elec,        0.00
2018        ,coccion_elec,        0.00
2019        ,coccion_elec,        0.00
2020        ,coccion_elec,        0.00
2021        ,coccion_elec,        0.00
2022        ,coccion_elec,        0.00
2023        ,coccion_elec,        0.00
2024        ,coccion_elec,        0.00
2025        ,coccion_elec,        0.00
2026        ,coccion_elec,        0.00
2027        ,coccion_elec,        0.00
2028        ,coccion_elec,        0.00
2029        ,coccion_elec,        0.00
2030        ,coccion_elec,        0.00
2031        ,coccion_elec,        0.00
2032        ,coccion_elec,        0.00
2033        ,coccion_elec,        0.00
2034        ,coccion_elec,        0.00
2035        ,coccion_elec,        0.00
2036        ,coccion_elec,        0.00
2037        ,coccion_elec,        0.00
2038        ,coccion_elec,        0.00
2039        ,coccion_elec,        0.00
2040        ,coccion_elec,        0.00
2041        ,coccion_elec,        0.00
2042        ,coccion_elec,        0.00
2043        ,coccion_elec,        0.00
2044        ,coccion_elec,        0.00
2045        ,coccion_elec,        0.00
2046        ,coccion_elec,        0.00
